organism,slot,axis,context,unit,grade,genes,coverage,positive,filled_by,detail,policy,candidates,candidate_titles,blocked_by,searched,would_fill_it
Tg,Tg_chromatin accessibility,regulation,stages,gene,A,7988,98.1%,,atac_promoter_,1 columns,one,"PMID 38093015 PRJNA921935 (pre-sexual stages); GSE277553 (from the GEO index, verify assay and parasite-gene shape); PMID 40823841 GSE249123 (from the GEO index, verify assay and parasite-gene shape); GSE287334 (from the GEO index, verify assay and parasite-gene shape); PMID 35041939 GSE175919 (from the GEO index, verify assay and parasite-gene shape); PMID 38791568 GSE249604 (from the GEO index, verify assay and parasite-gene shape); PMID 38093015 GSE222835 (from the GEO index, verify assay and parasite-gene shape); PMID 38093015 GSE222832 (from the GEO index, verify assay and parasite-gene shape); PMID 38093015 GSE222819 (from the GEO index, verify assay and parasite-gene shape)",38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages. | from the GEO index; verify assay and parasite-gene shape | 40823841: AP2X-1 is a negative regulator of Toxoplasma gondii sexual commitment | from the GEO index; verify assay and parasite-gene shape | 35041939: A potent HDAC inhibitor blocks Toxoplasma gondii tachyzoite growth and profoundly disrupts parasite gene expression. | 38791568: AP2XII-1 and AP2XI-2 Suppress Schizogony Gene Expression in Toxoplasma gondii | 38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages. | 38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages. | 38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages.,,,
Tg,Tg_RNA modification · m6A / 5mC,regulation,tachyzoite,gene,C,837,10.3%,,n_m6a_peaks,1 columns,separate,"PMID 34263725 GSE168155 (m6A reader and polyadenylation); PMID 40830525 GSE294543 (5mC methylome across lineages); GSE313582 (from the GEO index, verify assay and parasite-gene shape); GSE313273 (from the GEO index, verify assay and parasite-gene shape); GSE313048 (from the GEO index, verify assay and parasite-gene shape); PMID 41193469 GSE287537 (from the GEO index, verify assay and parasite-gene shape); GSE277553 (from the GEO index, verify assay and parasite-gene shape); PMID 40830525 GSE294543 (from the GEO index, verify assay and parasite-gene shape); PMID 40823841 GSE249123 (from the GEO index, verify assay and parasite-gene shape); PMID 40217127 GSE271902 (from the GEO index, verify assay and parasite-gene shape)",34263725: A plant-like mechanism coupling m6A reading to polyadenylation safeguards transcriptome integrity and developmental gene partitioning in Toxoplasma. | 40830525: Cross-lineage 5-methylcytosine methylome profiling reveals methylated divergence among Toxoplasma gondii tachyzoites of the three major clonal lineages. | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 41193469: Toxoplasma gondii chromatin remodeler SWI/SNF controls parasite division and gene expression. | from the GEO index; verify assay and parasite-gene shape | 40830525: Cross-lineage 5-methylcytosine methylome profiling reveals methylated divergence among Toxoplasma gondii tachyzoites of the three major clonal lineages. | 40823841: AP2X-1 is a negative regulator of Toxoplasma gondii sexual commitment | 40217127: An ISWI-related chromatin remodeler orchestrates parasite lifecycle progression by insulating gene expression in a densely packed genome [RNA-seq],,,
Tg,Tg_splicing / isoform use,regulation,stages,gene,C,798,9.8%,,novel_transcript_models,1 columns,one,"PMID 33688018 PRJNA606986 (nanopore isoform landscape); GSE277553 (from the GEO index, verify assay and parasite-gene shape); PMID 40823841 GSE249123 (from the GEO index, verify assay and parasite-gene shape); GSE287334 (from the GEO index, verify assay and parasite-gene shape); PMID 35041939 GSE175919 (from the GEO index, verify assay and parasite-gene shape); PMID 38791568 GSE249604 (from the GEO index, verify assay and parasite-gene shape); PMID 38093015 GSE222835 (from the GEO index, verify assay and parasite-gene shape); PMID 38093015 GSE222832 (from the GEO index, verify assay and parasite-gene shape); PMID 38093015 GSE222819 (from the GEO index, verify assay and parasite-gene shape)",33688018: Direct Nanopore Sequencing of mRNA Reveals Landscape of Transcript Isoforms in Apicomplexan Parasites. | from the GEO index; verify assay and parasite-gene shape | 40823841: AP2X-1 is a negative regulator of Toxoplasma gondii sexual commitment | from the GEO index; verify assay and parasite-gene shape | 35041939: A potent HDAC inhibitor blocks Toxoplasma gondii tachyzoite growth and profoundly disrupts parasite gene expression. | 38791568: AP2XII-1 and AP2XI-2 Suppress Schizogony Gene Expression in Toxoplasma gondii | 38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages. | 38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages. | 38093015: In vitro production of cat-restricted Toxoplasma pre-sexual stages.,,,
Tg,Tg_RNA stability / half-life,regulation,tachyzoite,gene,C,412,5.1%,,mrna_remaining_5h_actinomycin,1 columns,one,"PMID 39899594 PRJEB67890 (iron-mediated post-transcriptional regulation); GSE313582 (from the GEO index, verify assay and parasite-gene shape); GSE313273 (from the GEO index, verify assay and parasite-gene shape); GSE313048 (from the GEO index, verify assay and parasite-gene shape); PMID 41193469 GSE287537 (from the GEO index, verify assay and parasite-gene shape); GSE277553 (from the GEO index, verify assay and parasite-gene shape); PMID 40830525 GSE294543 (from the GEO index, verify assay and parasite-gene shape); PMID 40823841 GSE249123 (from the GEO index, verify assay and parasite-gene shape); PMID 40217127 GSE271902 (from the GEO index, verify assay and parasite-gene shape)",39899594: Iron-mediated post-transcriptional regulation in Toxoplasma gondii. | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 41193469: Toxoplasma gondii chromatin remodeler SWI/SNF controls parasite division and gene expression. | from the GEO index; verify assay and parasite-gene shape | 40830525: Cross-lineage 5-methylcytosine methylome profiling reveals methylated divergence among Toxoplasma gondii tachyzoites of the three major clonal lineages. | 40823841: AP2X-1 is a negative regulator of Toxoplasma gondii sexual commitment | 40217127: An ISWI-related chromatin remodeler orchestrates parasite lifecycle progression by insulating gene expression in a densely packed genome [RNA-seq],,,
Tg,Tg_localization · measured,localization,hyperLOPIT,gene,A,8140,100.0%,,"compartment, compartment_source, lopit_prob, lopit_methods_agree, lopit_confident",6 columns,one,,,,,
Tg,Tg_localization · transferred,localization,orthoLOPIT,gene,A,8140,100.0%,,"ortholopit_, compartment_best",5 columns,fill,,,,,
Tg,Tg_membrane topology,localization,sequence,gene,A,8140,100.0%,,"dtm_class, n_tm, has_signal_peptide, is_tm, tm_kd_, tm_len_mean",7 columns,one,,,,,
Tg,Tg_exposure to host cytosol,localization,"PVM, export",gene,C,1274,15.7%,73,pvm_proximity_positive,1 columns,fill,PMID 38747635 (TurboID exportome of secreted disordered proteins); PMID 29615509 GSE109830 (MYR1-dependent effectors); PMID 31366709 GSE122786 (translocation across the PVM),"38747635: TurboID mapping reveals the exportome of secreted intrinsically disordered proteins in the transforming parasite Theileria annulata. | 29615509: MYR1-Dependent Effectors Are the Major Drivers of a Host Cell's Early Response to Toxoplasma, Including Counteracting MYR1-Independent Effects. | 31366709: Translocation of Dense Granule Effectors across the Parasitophorous Vacuole Membrane in Toxoplasma-Infected Cells Requires the Activity of ROP17, a Rhoptry Protein Kinase.",,,
Tg,Tg_secretome / excreted,localization,ESA,gene,C,165,2.0%,,secretome_soluble_over_vesicle_log2,1 columns,one,"PMID 40874616 Ramirez-Flores vesicles (soluble against vesicular secreted fractions); PMID 39082802 GSE253885 (from the GEO index, verify assay and parasite-gene shape); PMID 39082802 GSE253884 (from the GEO index, verify assay and parasite-gene shape)",40874616: Mapping a Toxoplasma gondii interactome by crosslinking mass spectrometry and machine learning. | 39082802: CRISPR screens identify genes essential for in vivo virulence among proteins of hyperLOPIT-unassigned subcellular localization in Toxoplasma. | 39082802: CRISPR screens identify genes essential for in vivo virulence among proteins of hyperLOPIT-unassigned subcellular localization in Toxoplasma.,,,
Tg,Tg_co-transcription,relation,stage series,pair,A,6375,78.3%,,coexpression,"49,293 pairs",separate,,,,,
Tg,Tg_co-translation,relation,ribosome profiling,pair,B,1094,13.4%,,cotranslation,"6,344 pairs",separate,"GSE334992 (from the GEO index, verify assay and parasite-gene shape); PMID 40830525 GSE294543 (from the GEO index, verify assay and parasite-gene shape); PMID 37350586 GSE228853 (from the GEO index, verify assay and parasite-gene shape); PMID 29788176 GSE109086 (from the GEO index, verify assay and parasite-gene shape)","from the GEO index; verify assay and parasite-gene shape | 40830525: Cross-lineage 5-methylcytosine methylome profiling reveals methylated divergence among Toxoplasma gondii tachyzoites of the three major clonal lineages. | 37350586: An apicomplexan bromodomain protein, TgBDP1, associates with diverse epigenetic factors to regulate essential transcriptional processes in Toxoplasma gondii. | 29788176: Cooperative binding of ApiAP2 transcription factors is crucial for the expression of virulence genes in Toxoplasma gondii.",,,
Tg,Tg_co-fitness,relation,seven screens,pair,A,7290,89.6%,,cofitness,"88,997 pairs",separate,,,,,
Tg,Tg_interaction · crosslink MS,relation,measured contact,pair,B,1630,20.0%,,xlms,"2,842 pairs",one,,,,,
Tg,"Tg_interaction · IP-MS, parasite-parasite",relation,pulldown,pair,C,48,0.6%,,ip_ms,64 pairs,fill,55 IP-MS studies already downloaded and not curated,55 IP-MS studies already downloaded and not curated,,,
Tg,Tg_interaction · proximity labelling,relation,BioID / TurboID,gene,B,1742,21.4%,,n_proximity_partners,1 columns,fill,"44 BioID studies already downloaded; PMID 36214684 PXD032102 (calmodulin proximal interactors); PXD059579 (from the PRIDE index, verify the modification and the organism)",44 BioID studies already downloaded | 36214684: Essential Functions of Calmodulin and Identification of Its Proximal Interacting Proteins in Tachyzoite-Stage Toxoplasma gondii via BioID Technology. | from the PRIDE index; verify the modification and the organism,,,
Tg,Tg_interaction · structural similarity,relation,Foldseek,pair,A,2338,28.7%,,struct,"11,684 pairs",one,,,,,
Tg,Tg_interaction · with host proteins,relation,host IP-MS,pair,C,5,0.1%,,bridge:host,"733 pairs, 5 parasite gene(s)",separate,"PMID 32075880 PXD016383 (MYR1 co-IP); PMID 38747635 (exportome TurboID); GSE313582 (from the GEO index, verify assay and parasite-gene shape); GSE313273 (from the GEO index, verify assay and parasite-gene shape); GSE334992 (from the GEO index, verify assay and parasite-gene shape); PMID 37350586 GSE228853 (from the GEO index, verify assay and parasite-gene shape); PMID 33816350 GSE166828 (from the GEO index, verify assay and parasite-gene shape); PMID 33816350 GSE166827 (from the GEO index, verify assay and parasite-gene shape); PMID 21179246 GSE22100 (from the GEO index, verify assay and parasite-gene shape)","32075880: Coimmunoprecipitation with MYR1 Identifies Three Additional Proteins within the Toxoplasma gondii Parasitophorous Vacuole Required for Translocation of Dense Granule Effectors into Host Cells. | 38747635: TurboID mapping reveals the exportome of secreted intrinsically disordered proteins in the transforming parasite Theileria annulata. | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 37350586: An apicomplexan bromodomain protein, TgBDP1, associates with diverse epigenetic factors to regulate essential transcriptional processes in Toxoplasma gondii. | 33816350: Targeted transcriptomic analysis of C57BL/6 and BALB/c mice during progressive chronic Toxoplasma gondii infection reveals changes in host and parasitic gene expression relating to neuropathology and resolution | 33816350: Targeted transcriptomic analysis of C57BL/6 and BALB/c mice during progressive chronic Toxoplasma gondii infection reveals changes in host and parasitic gene expression relating to neuropathology and resolution | 21179246: Toxoplasma gondii lysine acetyltransferase GCN5-A functions in the cellular response to alkaline stress and expression of cyst genes.",,,
Tg,Tg_shared compartment,relation,hyperLOPIT,pair,B,1724,21.2%,,compartment,"118,712 pairs",one,,,,,
Tg,Tg_shared orthogroup,relation,OrthoMCL,pair,B,1258,15.5%,,orthogroup,"3,452 pairs",one,,,,,
Tg,Tg_shared domain,relation,InterPro,pair,A,2235,27.5%,,domain,"10,272 pairs",one,,,,,
Tg,Tg_interaction degree · crosslink MS,relation,measured contact,gene,A,8140,100.0%,,"n_xlink_partners, best_model_agreement",2 columns,separate,,,,,
Tg,Tg_interaction degree · IP-MS,relation,curated pulldown,gene,A,8140,100.0%,,n_ipms_partners,1 columns,one,,,,,
Tg,Tg_interaction degree · structural similarity,relation,Foldseek,gene,A,8140,100.0%,,n_struct_similar,1 columns,one,,,,,
Tg,Tg_host interaction degree,host effect,curated parasite-host interactions,gene,A,8140,100.0%,,n_host_targets,1 columns,one,,,,,
Tg,Tg_downloaded-study membership,NEVER a feature,BioID / IP-MS corpus coverage,gene,A,8140,100.0%,,"n_bioid_studies, n_ipms_studies",2 columns,separate,,,,,
Tg,Tg_analysis-derived structural holes,NEVER a feature,coexpression + cofitness - literature,gene,A,8140,100.0%,,n_holes,1 columns,one,,,,,
Tg,Tg_assay confidence and significance,NEVER a feature,target evidence metadata,gene,C,252,3.1%,,hosttx_padj,1 columns,one,,,,,
Tg,Tg_host transcriptional effect per effector,host effect,dual perturb-seq,gene,C,252,3.1%,,"hosttx_T2, hosttx_signature_",23 columns,separate,"PMID 37827122 GSE229505 (the per-effector host signature, not just its p-value)",37827122: High-throughput identification of Toxoplasma gondii effector proteins that target host cell transcription.,,,
Tg,Tg_domain content,sequence,InterPro,gene,A,8140,100.0%,,"n_interpro, has_domain, interpro_id, interpro_desc, pfam_id",5 columns,one,,,,,
Tg,Tg_fold confidence / disorder,sequence,AlphaFold,gene,A,8140,100.0%,6480,"mean_plddt, has_structure",2 columns,one,,,,,
Tg,Tg_conservation breadth,sequence,OrthoMCL,gene,A,8140,100.0%,,"has_pf_ortholog, has_cp_ortholog, lineage_specific, orthogroup",4 columns,one,,,,,
Tg,Tg_paralogy,sequence,OrthoMCL,gene,A,8140,100.0%,,paralog_number,1 columns,one,,,,,
Tg,Tg_sequence basics,sequence,protein,gene,A,8140,100.0%,,"length, sequence",2 columns,one,,,,,
Tg,Tg_strain variation,sequence,population,gene,A,8140,100.0%,,snp_,5 columns,one,"ToxoDB HTS SNPs (SNPs per gene across every sequenced strain); GSE313582 (from the GEO index, verify assay and parasite-gene shape); GSE313273 (from the GEO index, verify assay and parasite-gene shape); GSE313318 (from the GEO index, verify assay and parasite-gene shape); PMID 40830525 GSE294543 (from the GEO index, verify assay and parasite-gene shape); GSE302108 (from the GEO index, verify assay and parasite-gene shape); PMID 40823841 GSE249123 (from the GEO index, verify assay and parasite-gene shape); PMID 37675999 GSE210671 (from the GEO index, verify assay and parasite-gene shape); GSE206344 (from the GEO index, verify assay and parasite-gene shape)",SNPs per gene across every sequenced strain | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 40830525: Cross-lineage 5-methylcytosine methylome profiling reveals methylated divergence among Toxoplasma gondii tachyzoites of the three major clonal lineages. | from the GEO index; verify assay and parasite-gene shape | 40823841: AP2X-1 is a negative regulator of Toxoplasma gondii sexual commitment | 37675999: An ex vivo model of Toxoplasma recrudescence reveals the developmental plasticity of the bradyzoite stage | from the GEO index; verify assay and parasite-gene shape,,,
Tg,Tg_literature attention,NEVER a feature,PubMed / PMC,gene,A,8140,100.0%,,"n_publications, n_fulltext, n_papers_, attention_depth, lit_tier",7 columns,one,,,,,
Tg,Tg_gene identity and annotation,NEVER a feature,ToxoDB,gene,A,8140,100.0%,,"gene_id, product",2 columns,one,,,,,
Tg,Tg_metabolite levels,metabolism,steady state,metabolite,B,675,52.1%,,metabolite_level_,"2 columns of 1,296 metabolites",separate,,,,,
Tg,Tg_metabolic flux,metabolism,labelled precursor,metabolite,B,855,66.0%,,labelled_fraction_,"2 columns of 1,296 metabolites",separate,,,,,
Tg,Tg_lipid composition,metabolism,membrane lipids,metabolite,C,194,15.0%,,lipid_ev_,"2 columns of 1,296 metabolites",separate,,,,,
Tg,Tg_enzyme classification,metabolism,annotation,gene,A,8140,100.0%,1313,"ec_number, has_ec",2 columns,one,,,,,
Tg,Tg_resistance-conferring mutation,chemistry,in vitro evolution,gene,C,1,0.0%,,"resistance_allele_count, resistance_compound_count, resistance_substitutions, resistance_compounds",4 columns,separate,"PMID 24533298 Int J Parasitol Drugs Drug Resist (TgMAPK1 L162Q and I171N, 1NM-PP1); PMID 25941623 Sci Rep (TgMAPKL-1 gatekeeper S191Y); PMID 35041939 GSE175919 (from the GEO index, verify assay and parasite-gene shape)",24533298: Identification of mutations in TgMAPK1 of Toxoplasma gondii conferring resistance to 1NM-PP1. | 25941623: A single mutation in the gatekeeper residue in TgMAPKL-1 restores the inhibitory effect of a bumped kinase inhibitor on the cell cycle. | 35041939: A potent HDAC inhibitor blocks Toxoplasma gondii tachyzoite growth and profoundly disrupts parasite gene expression.,,,
Tg,Tg_target engagement / thermal shift,chemistry,thermal proteome,gene,B,2348,28.8%,,cetsa_calcium_ed_score,1 columns,average,,,,,
Tg,Tg_RNA-binding protein targets,relation,CLIP / RIP,gene,A,7463,91.7%,,bfd2_rip_log2_ip_over_input,1 columns,separate,,,,,
Tg,Tg_noncoding and antisense transcription,transcription,lncRNA,gene,A,8140,100.0%,,antisense_expression_percentile,1 columns,separate,,,,,
Tg,Tg_codon usage / translation efficiency,translation,sequence-derived,gene,A,8140,100.0%,,codon_,3 columns,one,,,,,
Tg,Tg_complex membership,relation,crosslink MS interactome,gene,C,494,6.1%,,n_crosslink_partners,1 columns,separate,PMID 40874616 mBio 02159-25 (Toxoplasma interactome by crosslinking mass spectrometry),40874616: Mapping a Toxoplasma gondii interactome by crosslinking mass spectrometry and machine learning.,,,
Tg,Tg_seroreactivity / antigenicity,immunity,human or animal sera,gene,C,34,0.4%,,n_bcell_epitopes,1 columns,separate,"IEDB bcell_search (distinct antibody epitope sequences per antigen); PMID 41704854 GSE300509 (from the GEO index, verify assay and parasite-gene shape); PMID 40830525 GSE294543 (from the GEO index, verify assay and parasite-gene shape); GSE287334 (from the GEO index, verify assay and parasite-gene shape); GSE124251 (from the GEO index, verify assay and parasite-gene shape); PMID 37350586 GSE228853 (from the GEO index, verify assay and parasite-gene shape); PMID 36214684 GSE198001 (from the GEO index, verify assay and parasite-gene shape); PMID 33336164 GSE156685 (from the GEO index, verify assay and parasite-gene shape); PMID 32065584 GSE145080 (from the GEO index, verify assay and parasite-gene shape)","distinct antibody epitope sequences per antigen | 41704854: In vitro growth of Toxoplasma gondii tachyzoites on different host cell lines selects for changes in efficiency of invasion and parasite surface antigen gene expression | 40830525: Cross-lineage 5-methylcytosine methylome profiling reveals methylated divergence among Toxoplasma gondii tachyzoites of the three major clonal lineages. | from the GEO index; verify assay and parasite-gene shape | from the GEO index; verify assay and parasite-gene shape | 37350586: An apicomplexan bromodomain protein, TgBDP1, associates with diverse epigenetic factors to regulate essential transcriptional processes in Toxoplasma gondii. | 36214684: Essential Functions of Calmodulin and Identification of Its Proximal Interacting Proteins in Tachyzoite-Stage Toxoplasma gondii via BioID Technology. | 33336164: Target identification of an antimalarial oxaborole identifies AN13762 as an alternative chemotype for targeting CPSF3 in apicomplexan parasites. | 32065584: A single-parasite transcriptional atlas of Toxoplasma Gondii reveals novel control of antigen expression.",,,
Tg,Tg_T-cell epitope content,immunity,predicted and measured,gene,C,221,2.7%,,iedb_epitope_count,1 columns,average,"GSE287334 (from the GEO index, verify assay and parasite-gene shape)",from the GEO index; verify assay and parasite-gene shape,,,
Tg,Tg_host ESCRT recruitment,phenotype,high-content imaging,gene,C,10,0.1%,,escrt_recruitment_,2 columns,separate,spaCR screen (unpublished) (pooled image-based CRISPR screen of secretory proteins),pooled image-based CRISPR screen of secretory proteins,,,
Tg,Tg_invasion and egress phenotype,phenotype,high-content imaging,gene,C,318,3.9%,,"screen_egress_phenotype, screen_any_phenotype, screen_actin_phenotype, screen_apicoplast_phenotype, screen_replication_phenotype, screen_scorers_agree",6 columns,separate,"PMID 35538310 Nat Microbiol 41564-2022-01114 (arrayed splitCas9 imaging screen, 319 genes)",35538310: A splitCas9 phenotypic screen in Toxoplasma gondii identifies proteins involved in host cell egress and invasion.,,,
Tg,Tg_essentiality in a second background,fitness,second strain,gene,C,131,1.6%,,crispr_reporter_strain_p8_log2,1 columns,separate,"GSE132237 (eight passages in the differentiation reporter strain); PMID 31955846 GSE132237 (from the GEO index, verify assay and parasite-gene shape)",eight passages in the differentiation reporter strain | 31955846: CRISPR-Cas9 screens to identify regulators of differentiation in Toxoplasma gondii,,,
Tg,Tg_host proteome · human fibroblast,host effect,"human fibroblast; tachyzoite, in vitro HFF",host_gene,-,0,,,,,average,,,missing,"Not yet swept. What the host table holds for this tissue is nothing -- the bridges are a join between two tables, not a proteome of human fibroblast.","PRIDE tissue and cell-type proteomes; Human Protein Atlas protein-level tissue data. Rows are host genes, keyed to UniProt or Ensembl, and they never enter a parasite embedding as feature columns: a parasite map whose rows were partly host genes would break every claim of the form “cluster 5 is 71% IMC”, which assumes the rows are parasite genes. This one answers whether the host partner a tachyzoite, in vitro HFF protein binds is present in human fibroblast at all."
Tg,Tg_host transcriptome · human fibroblast,host effect,"human fibroblast; tachyzoite, in vitro HFF",host_gene,A,19087,100.0%,,fibroblast_tpm,"1 columns of 19,087 host proteins",average,,,,,
Tg,Tg_host surface / receptor repertoire · human fibroblast,host effect,"human fibroblast; tachyzoite, in vitro HFF",host_gene,-,0,,,,,fill,,,missing,"Not yet swept. What the host table holds for this tissue is nothing -- the bridges are a join between two tables, not a proteome of human fibroblast.","surface-proteome and cell-surface-capture studies in PRIDE, checked against HPA membrane annotation; this is what a binding claim gets checked against. Rows are host genes, keyed to UniProt or Ensembl, and they never enter a parasite embedding as feature columns: a parasite map whose rows were partly host genes would break every claim of the form “cluster 5 is 71% IMC”, which assumes the rows are parasite genes. This one answers whether the host partner a tachyzoite, in vitro HFF protein binds is present in human fibroblast at all."
Tg,Tg_host response to infection · human fibroblast,host effect,"human fibroblast; tachyzoite, in vitro HFF",host_gene,-,0,,,,,separate,,,missing,"Not yet swept. What the host table holds for this tissue is nothing -- the bridges are a join between two tables, not a proteome of human fibroblast.","dual RNA-seq and infected-versus-uninfected series in GEO and ArrayExpress, kept as the contrast rather than the condition. Rows are host genes, keyed to UniProt or Ensembl, and they never enter a parasite embedding as feature columns: a parasite map whose rows were partly host genes would break every claim of the form “cluster 5 is 71% IMC”, which assumes the rows are parasite genes. This one answers whether the host partner a tachyzoite, in vitro HFF protein binds is present in human fibroblast at all."
Tg,Tg_host proteome · human monocyte,host effect,"human monocyte; tachyzoite, infected monocyte",host_gene,-,0,,,,,average,,,missing,"Not yet swept. What the host table holds for this tissue is nothing -- the bridges are a join between two tables, not a proteome of human monocyte.","PRIDE tissue and cell-type proteomes; Human Protein Atlas protein-level tissue data. Rows are host genes, keyed to UniProt or Ensembl, and they never enter a parasite embedding as feature columns: a parasite map whose rows were partly host genes would break every claim of the form “cluster 5 is 71% IMC”, which assumes the rows are parasite genes. This one answers whether the host partner a tachyzoite, infected monocyte protein binds is present in human monocyte at all."
Tg,Tg_host transcriptome · human monocyte,host effect,"human monocyte; tachyzoite, infected monocyte",host_gene,-,0,,,,,average,,,missing,"Not yet swept. What the host table holds for this tissue is nothing -- the bridges are a join between two tables, not a proteome of human monocyte.","GTEx and the Human Protein Atlas for human tissue; Tabula Muris for mouse; VectorBase for Anopheles. Rows are host genes, keyed to UniProt or Ensembl, and they never enter a parasite embedding as feature columns: a parasite map whose rows were partly host genes would break every claim of the form “cluster 5 is 71% IMC”, which assumes the rows are parasite genes. This one answers whether the host partner a tachyzoite, infected monocyte protein binds is present in human monocyte at all."
Tg,Tg_host surface / receptor repertoire · human monocyte,host effect,"human monocyte; tachyzoite, infected monocyte",host_gene,-,0,,,,,fill,,,missing,"Not yet swept. What the host table holds for this tissue is nothing -- the bridges are a join between two tables, not a proteome of human monocyte.","surface-proteome and cell-surface-capture studies in PRIDE, checked against HPA membrane annotation; this is what a binding claim gets checked against. Rows are host genes, keyed to UniProt or Ensembl, and they never enter a parasite embedding as feature columns: a parasite map whose rows were partly host genes would break every claim of the form “cluster 5 is 71% IMC”, which assumes the rows are parasite genes. This one answers whether the host partner a tachyzoite, infected monocyte protein binds is present in human monocyte at all."
Tg,Tg_host response to infection · human monocyte,host effect,"human monocyte; tachyzoite, infected monocyte",host_gene,-,0,,,,,separate,,,missing,"Not yet swept. What the host table holds for this tissue is nothing -- the bridges are a join between two tables, not a proteome of human monocyte.","dual RNA-seq and infected-versus-uninfected series in GEO and ArrayExpress, kept as the contrast rather than the condition. Rows are host genes, keyed to UniProt or Ensembl, and they never enter a parasite embedding as feature columns: a parasite map whose rows were partly host genes would break every claim of the form “cluster 5 is 71% IMC”, which assumes the rows are parasite genes. This one answers whether the host partner a tachyzoite, infected monocyte protein binds is present in human monocyte at all."
Tg,Tg_host proteome · mouse bone-marrow macrophage,host effect,"mouse bone-marrow macrophage; tachyzoite, BMDM",host_gene,-,0,,,,,average,,,missing,"Not yet swept. What the host table holds for this tissue is nothing -- the bridges are a join between two tables, not a proteome of mouse bone-marrow macrophage.","PRIDE tissue and cell-type proteomes; Human Protein Atlas protein-level tissue data. Rows are host genes, keyed to UniProt or Ensembl, and they never enter a parasite embedding as feature columns: a parasite map whose rows were partly host genes would break every claim of the form “cluster 5 is 71% IMC”, which assumes the rows are parasite genes. This one answers whether the host partner a tachyzoite, BMDM protein binds is present in mouse bone-marrow macrophage at all."
Tg,Tg_host transcriptome · mouse bone-marrow macrophage,host effect,"mouse bone-marrow macrophage; tachyzoite, BMDM",host_gene,-,0,,,,,average,,,missing,"Not yet swept. What the host table holds for this tissue is nothing -- the bridges are a join between two tables, not a proteome of mouse bone-marrow macrophage.","GTEx and the Human Protein Atlas for human tissue; Tabula Muris for mouse; VectorBase for Anopheles. Rows are host genes, keyed to UniProt or Ensembl, and they never enter a parasite embedding as feature columns: a parasite map whose rows were partly host genes would break every claim of the form “cluster 5 is 71% IMC”, which assumes the rows are parasite genes. This one answers whether the host partner a tachyzoite, BMDM protein binds is present in mouse bone-marrow macrophage at all."
Tg,Tg_host surface / receptor repertoire · mouse bone-marrow macrophage,host effect,"mouse bone-marrow macrophage; tachyzoite, BMDM",host_gene,A,1296,100.0%,150,"bmdm_surface_detected, bmdm_surface_intensity","2 columns of 1,296 host proteins",fill,,,,,
Tg,Tg_host response to infection · mouse bone-marrow macrophage,host effect,"mouse bone-marrow macrophage; tachyzoite, BMDM",host_gene,-,0,,,,,separate,,,missing,"Not yet swept. What the host table holds for this tissue is nothing -- the bridges are a join between two tables, not a proteome of mouse bone-marrow macrophage.","dual RNA-seq and infected-versus-uninfected series in GEO and ArrayExpress, kept as the contrast rather than the condition. Rows are host genes, keyed to UniProt or Ensembl, and they never enter a parasite embedding as feature columns: a parasite map whose rows were partly host genes would break every claim of the form “cluster 5 is 71% IMC”, which assumes the rows are parasite genes. This one answers whether the host partner a tachyzoite, BMDM protein binds is present in mouse bone-marrow macrophage at all."
Tg,Tg_host proteome · mouse brain,host effect,"mouse brain; bradyzoite, chronic CNS infection",host_gene,-,0,,,,,average,,,missing,"Not yet swept. What the host table holds for this tissue is nothing -- the bridges are a join between two tables, not a proteome of mouse brain.","PRIDE tissue and cell-type proteomes; Human Protein Atlas protein-level tissue data. Rows are host genes, keyed to UniProt or Ensembl, and they never enter a parasite embedding as feature columns: a parasite map whose rows were partly host genes would break every claim of the form “cluster 5 is 71% IMC”, which assumes the rows are parasite genes. This one answers whether the host partner a bradyzoite, chronic CNS infection protein binds is present in mouse brain at all."
Tg,Tg_host transcriptome · mouse brain,host effect,"mouse brain; bradyzoite, chronic CNS infection",host_gene,A,9763,100.0%,,brain_tpm,"1 columns of 9,763 host proteins",average,,,,,
