question,E,P,genes,corroborated,clusters_used
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",2.0,0.3,55,34,16
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",2.0,0.4,55,34,16
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",2.0,0.5,55,34,16
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",2.0,0.6,55,34,16
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",2.0,0.8,17,14,5
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",3.0,0.3,0,0,0
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",3.0,0.4,0,0,0
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",3.0,0.5,0,0,0
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",3.0,0.6,0,0,0
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",3.0,0.8,0,0,0
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",5.0,0.3,0,0,0
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",5.0,0.4,0,0,0
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",5.0,0.5,0,0,0
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",5.0,0.6,0,0,0
"Which uncharacterised genes sit inside the co-expressed, co-translated, co-complexed modules that the parasite cannot lose in culture?",5.0,0.8,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,1.25,0.3,212,0,18
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,1.25,0.4,212,0,18
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,1.25,0.5,34,0,9
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,1.25,0.6,14,0,2
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,1.25,0.8,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,1.5,0.3,33,0,8
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,1.5,0.4,33,0,8
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,1.5,0.5,33,0,8
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,1.5,0.6,14,0,2
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,1.5,0.8,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,2.0,0.3,13,0,1
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,2.0,0.4,13,0,1
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,2.0,0.5,13,0,1
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,2.0,0.6,13,0,1
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,2.0,0.8,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,3.0,0.3,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,3.0,0.4,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,3.0,0.5,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,3.0,0.6,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,3.0,0.8,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,5.0,0.3,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,5.0,0.4,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,5.0,0.5,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,5.0,0.6,0,0,0
Which genes become essential only when the PVM nutrient pore GRA17 is deleted - what backs up the parasite access to host nutrients?,5.0,0.8,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,1.25,0.3,160,32,31
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,1.25,0.4,160,32,31
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,1.25,0.5,36,26,14
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,1.25,0.6,1,1,1
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,1.25,0.8,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,1.5,0.3,36,26,14
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,1.5,0.4,36,26,14
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,1.5,0.5,36,26,14
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,1.5,0.6,1,1,1
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,1.5,0.8,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,2.0,0.3,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,2.0,0.4,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,2.0,0.5,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,2.0,0.6,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,2.0,0.8,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,3.0,0.3,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,3.0,0.4,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,3.0,0.5,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,3.0,0.6,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,3.0,0.8,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,5.0,0.3,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,5.0,0.4,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,5.0,0.5,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,5.0,0.6,0,0,0
Do host-interaction measurements alone predict which genes the parasite needs in a living animal?,5.0,0.8,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",1.25,0.3,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",1.25,0.4,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",1.25,0.5,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",1.25,0.6,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",1.25,0.8,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",1.5,0.3,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",1.5,0.4,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",1.5,0.5,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",1.5,0.6,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",1.5,0.8,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",2.0,0.3,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",2.0,0.4,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",2.0,0.5,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",2.0,0.6,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",2.0,0.8,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",3.0,0.3,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",3.0,0.4,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",3.0,0.5,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",3.0,0.6,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",3.0,0.8,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",5.0,0.3,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",5.0,0.4,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",5.0,0.5,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",5.0,0.6,0,0,0
"Which uncharacterised proteins behave like enzymes - as co-expressed, co-translated and fitness-coupled as the annotated enzyme set?",5.0,0.8,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,1.25,0.3,218,2,42
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,1.25,0.4,218,2,42
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,1.25,0.5,67,2,21
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,1.25,0.6,8,0,4
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,1.25,0.8,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,1.5,0.3,60,2,19
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,1.5,0.4,60,2,19
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,1.5,0.5,60,2,19
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,1.5,0.6,8,0,4
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,1.5,0.8,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,2.0,0.3,3,0,2
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,2.0,0.4,3,0,2
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,2.0,0.5,3,0,2
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,2.0,0.6,3,0,2
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,2.0,0.8,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,3.0,0.3,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,3.0,0.4,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,3.0,0.5,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,3.0,0.6,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,3.0,0.8,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,5.0,0.3,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,5.0,0.4,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,5.0,0.5,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,5.0,0.6,0,0,0
Which genes buffer oxidative stress - what does the parasite need when its redox metabolism is challenged?,5.0,0.8,0,0,0
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,1.25,0.3,145,1,13
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,1.25,0.4,145,1,13
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,1.25,0.5,41,1,5
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,1.25,0.6,39,1,3
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,1.25,0.8,1,1,1
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,1.5,0.3,42,1,6
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,1.5,0.4,42,1,6
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,1.5,0.5,41,1,5
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,1.5,0.6,39,1,3
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,1.5,0.8,1,1,1
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,2.0,0.3,39,1,3
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,2.0,0.4,39,1,3
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,2.0,0.5,39,1,3
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,2.0,0.6,39,1,3
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,2.0,0.8,1,1,1
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,3.0,0.3,0,0,0
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,3.0,0.4,0,0,0
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,3.0,0.5,0,0,0
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,3.0,0.6,0,0,0
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,3.0,0.8,0,0,0
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,5.0,0.3,0,0,0
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,5.0,0.4,0,0,0
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,5.0,0.5,0,0,0
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,5.0,0.6,0,0,0
Which genes are held silent in tachyzoites by chromatin and released in the cat-gut enteroepithelial stages?,5.0,0.8,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",1.25,0.3,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",1.25,0.4,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",1.25,0.5,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",1.25,0.6,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",1.25,0.8,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",1.5,0.3,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",1.5,0.4,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",1.5,0.5,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",1.5,0.6,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",1.5,0.8,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",2.0,0.3,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",2.0,0.4,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",2.0,0.5,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",2.0,0.6,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",2.0,0.8,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",3.0,0.3,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",3.0,0.4,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",3.0,0.5,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",3.0,0.6,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",3.0,0.8,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",5.0,0.3,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",5.0,0.4,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",5.0,0.5,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",5.0,0.6,0,0,0
"Do fitness, localisation and interaction data alone tell you which promoters the HDAC3 repressor occupies?",5.0,0.8,0,0,0
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,1.25,0.3,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,1.25,0.4,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,1.25,0.5,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,1.25,0.6,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,1.25,0.8,0,0,0
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,1.5,0.3,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,1.5,0.4,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,1.5,0.5,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,1.5,0.6,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,1.5,0.8,0,0,0
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,2.0,0.3,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,2.0,0.4,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,2.0,0.5,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,2.0,0.6,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,2.0,0.8,0,0,0
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,3.0,0.3,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,3.0,0.4,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,3.0,0.5,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,3.0,0.6,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,3.0,0.8,0,0,0
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,5.0,0.3,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,5.0,0.4,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,5.0,0.5,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,5.0,0.6,83,0,1
Which uncharacterised proteins behave like PVM-resident effectors - which unlabelled genes fall in map clusters dominated by proteins detected at the parasitophorous vacuole membrane?,5.0,0.8,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,1.25,0.3,171,67,39
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,1.25,0.4,171,67,39
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,1.25,0.5,85,55,21
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,1.25,0.6,21,19,6
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,1.25,0.8,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,1.5,0.3,72,55,20
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,1.5,0.4,72,55,20
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,1.5,0.5,72,55,20
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,1.5,0.6,21,19,6
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,1.5,0.8,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,2.0,0.3,14,12,4
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,2.0,0.4,14,12,4
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,2.0,0.5,14,12,4
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,2.0,0.6,14,12,4
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,2.0,0.8,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,3.0,0.3,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,3.0,0.4,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,3.0,0.5,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,3.0,0.6,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,3.0,0.8,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,5.0,0.3,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,5.0,0.4,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,5.0,0.5,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,5.0,0.6,0,0,0
Which genes does the parasite need to survive inside a macrophage - which unlabelled genes cluster with the set whose loss costs fitness in naive bone-marrow-derived macrophages?,5.0,0.8,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,1.25,0.3,98,0,32
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,1.25,0.4,94,0,30
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,1.25,0.5,15,0,11
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,1.25,0.6,4,0,3
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,1.25,0.8,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,1.5,0.3,23,0,9
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,1.5,0.4,23,0,9
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,1.5,0.5,9,0,6
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,1.5,0.6,4,0,3
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,1.5,0.8,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,2.0,0.3,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,2.0,0.4,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,2.0,0.5,0,0,0
Which uncharacterised genes are required to survive inside IFN-gamma-activated macrophages - which unlabelled genes cluster with the immune-evasion arsenal?,2.0,0.6,0,0,0
