Gene ID	Genomic Sequence ID	Genomic Location (Gene)	Gene Strand	Gene Type
TGME49_216140	TGME49_chrXI	TGME49_chrXI:6,382,091..6,387,431(+)	forward	protein coding gene
TGME49_216150	TGME49_chrXI	TGME49_chrXI:6,376,866..6,381,856(+)	forward	protein coding gene
TGME49_216155	TGME49_chrXI	TGME49_chrXI:6,373,662..6,376,903(+)	forward	protein coding gene
TGME49_216160	TGME49_chrXI	TGME49_chrXI:6,371,746..6,373,513(-)	reverse	protein coding gene
TGME49_216170	TGME49_chrXI	TGME49_chrXI:6,364,217..6,370,759(+)	forward	protein coding gene
TGME49_216180	TGME49_chrXI	TGME49_chrXI:6,359,194..6,360,996(-)	reverse	protein coding gene
TGME49_216190	TGME49_chrXI	TGME49_chrXI:6,348,246..6,354,451(+)	forward	protein coding gene
TGME49_216200	TGME49_chrXI	TGME49_chrXI:6,345,367..6,346,901(+)	forward	protein coding gene
TGME49_216210	TGME49_chrXI	TGME49_chrXI:6,319,606..6,344,741(+)	forward	protein coding gene
TGME49_216220	TGME49_chrXI	TGME49_chrXI:6,309,348..6,315,253(-)	reverse	protein coding gene
TGME49_216240	TGME49_chrXI	TGME49_chrXI:6,296,862..6,307,622(+)	forward	protein coding gene
TGME49_216250	TGME49_chrXI	TGME49_chrXI:6,281,031..6,294,379(-)	reverse	protein coding gene
TGME49_216260	TGME49_chrXI	TGME49_chrXI:6,270,614..6,280,192(+)	forward	protein coding gene
TGME49_216270	TGME49_chrXI	TGME49_chrXI:6,267,664..6,269,900(+)	forward	protein coding gene
TGME49_216275	TGME49_chrXI	TGME49_chrXI:6,264,454..6,267,479(+)	forward	protein coding gene
TGME49_216280	TGME49_chrXI	TGME49_chrXI:6,255,849..6,262,080(-)	reverse	protein coding gene
TGME49_216285	TGME49_chrXI	TGME49_chrXI:6,251,178..6,255,585(+)	forward	protein coding gene
TGME49_216290	TGME49_chrXI	TGME49_chrXI:6,239,233..6,251,397(-)	reverse	protein coding gene
TGME49_216335	TGME49_chrXI	TGME49_chrXI:6,208,119..6,239,027(-)	reverse	protein coding gene
TGME49_216370	TGME49_chrXI	TGME49_chrXI:6,204,962..6,207,487(+)	forward	protein coding gene
TGME49_216375	TGME49_chrXI	TGME49_chrXI:6,200,491..6,204,793(-)	reverse	protein coding gene
TGME49_216380	TGME49_chrXI	TGME49_chrXI:6,183,467..6,199,925(+)	forward	protein coding gene
TGME49_216390	TGME49_chrXI	TGME49_chrXI:6,176,019..6,183,252(-)	reverse	protein coding gene
TGME49_216400	TGME49_chrXI	TGME49_chrXI:6,170,141..6,172,278(-)	reverse	protein coding gene
TGME49_216410	TGME49_chrXI	TGME49_chrXI:6,167,818..6,170,513(+)	forward	protein coding gene
TGME49_216415	TGME49_chrXI	TGME49_chrXI:6,166,848..6,168,100(+)	forward	protein coding gene
TGME49_216420	TGME49_chrXI	TGME49_chrXI:6,165,816..6,166,277(+)	forward	protein coding gene
TGME49_216430	TGME49_chrXI	TGME49_chrXI:6,151,901..6,166,959(-)	reverse	protein coding gene
TGME49_216435	TGME49_chrXI	TGME49_chrXI:6,147,656..6,151,624(+)	forward	protein coding gene
TGME49_216440	TGME49_chrXI	TGME49_chrXI:6,143,198..6,147,596(-)	reverse	protein coding gene
TGME49_216450	TGME49_chrXI	TGME49_chrXI:6,138,532..6,142,565(+)	forward	protein coding gene
TGME49_216460	TGME49_chrXI	TGME49_chrXI:6,132,575..6,135,504(+)	forward	protein coding gene
TGME49_216470	TGME49_chrXI	TGME49_chrXI:6,127,118..6,129,692(-)	reverse	protein coding gene
TGME49_216480	TGME49_chrXI	TGME49_chrXI:6,122,064..6,126,061(+)	forward	protein coding gene
TGME49_216490	TGME49_chrXI	TGME49_chrXI:6,117,983..6,121,878(-)	reverse	protein coding gene
TGME49_216500	TGME49_chrXI	TGME49_chrXI:6,105,427..6,116,971(-)	reverse	protein coding gene
TGME49_216510	TGME49_chrXI	TGME49_chrXI:6,097,166..6,105,250(+)	forward	protein coding gene
TGME49_216530	TGME49_chrXI	TGME49_chrXI:6,092,529..6,096,989(-)	reverse	protein coding gene
TGME49_216540	TGME49_chrXI	TGME49_chrXI:6,088,132..6,092,497(+)	forward	protein coding gene
TGME49_216550	TGME49_chrXI	TGME49_chrXI:6,087,111..6,087,183(-)	reverse	ncRNA gene
TGME49_216560	TGME49_chrXI	TGME49_chrXI:6,081,807..6,086,824(-)	reverse	protein coding gene
TGME49_216570	TGME49_chrXI	TGME49_chrXI:6,080,165..6,080,237(+)	forward	ncRNA gene
TGME49_216580	TGME49_chrXI	TGME49_chrXI:6,072,786..6,079,582(-)	reverse	protein coding gene
TGME49_216585	TGME49_chrXI	TGME49_chrXI:6,071,501..6,072,869(+)	forward	protein coding gene
TGME49_216590	TGME49_chrXI	TGME49_chrXI:6,060,113..6,070,321(-)	reverse	protein coding gene
TGME49_216600	TGME49_chrXI	TGME49_chrXI:6,050,461..6,059,346(-)	reverse	protein coding gene
TGME49_216610	TGME49_chrXI	TGME49_chrXI:6,039,473..6,048,790(-)	reverse	protein coding gene
TGME49_216620	TGME49_chrXI	TGME49_chrXI:6,006,047..6,038,609(+)	forward	protein coding gene
TGME49_216630	TGME49_chrXI	TGME49_chrXI:5,992,889..6,003,436(-)	reverse	protein coding gene
TGME49_216640	TGME49_chrXI	TGME49_chrXI:5,989,007..5,992,820(+)	forward	protein coding gene
TGME49_216650	TGME49_chrXI	TGME49_chrXI:5,981,916..5,986,152(-)	reverse	protein coding gene
TGME49_216660	TGME49_chrXI	TGME49_chrXI:5,976,855..5,981,532(+)	forward	protein coding gene
TGME49_216670	TGME49_chrXI	TGME49_chrXI:5,968,994..5,976,592(-)	reverse	protein coding gene
TGME49_216680	TGME49_chrXI	TGME49_chrXI:5,955,849..5,969,369(+)	forward	protein coding gene
TGME49_216700	TGME49_chrXI	TGME49_chrXI:5,953,121..5,955,806(-)	reverse	protein coding gene
TGME49_216710	TGME49_chrXI	TGME49_chrXI:5,947,696..5,952,187(+)	forward	protein coding gene
TGME49_216720	TGME49_chrXI	TGME49_chrXI:5,944,501..5,946,901(+)	forward	protein coding gene
TGME49_216730	TGME49_chrXI	TGME49_chrXI:5,932,325..5,947,217(-)	reverse	protein coding gene
TGME49_216740	TGME49_chrXI	TGME49_chrXI:5,926,168..5,932,296(+)	forward	protein coding gene
TGME49_216750	TGME49_chrXI	TGME49_chrXI:5,915,753..5,924,539(-)	reverse	protein coding gene
TGME49_216760	TGME49_chrXI	TGME49_chrXI:5,905,421..5,915,634(+)	forward	protein coding gene
TGME49_216770	TGME49_chrXI	TGME49_chrXI:5,902,206..5,902,697(+)	forward	protein coding gene
TGME49_216780	TGME49_chrXI	TGME49_chrXI:5,888,677..5,900,714(+)	forward	protein coding gene
TGME49_216785	TGME49_chrXI	TGME49_chrXI:5,887,386..5,889,007(-)	reverse	protein coding gene
TGME49_216790	TGME49_chrXI	TGME49_chrXI:5,880,213..5,887,198(-)	reverse	protein coding gene
TGME49_216800	TGME49_chrXI	TGME49_chrXI:5,875,277..5,877,907(-)	reverse	protein coding gene
TGME49_216810	TGME49_chrXI	TGME49_chrXI:5,871,236..5,874,465(-)	reverse	protein coding gene
TGME49_216820	TGME49_chrXI	TGME49_chrXI:5,863,092..5,869,578(-)	reverse	protein coding gene
TGME49_216830	TGME49_chrXI	TGME49_chrXI:5,859,125..5,861,897(-)	reverse	protein coding gene
TGME49_216840	TGME49_chrXI	TGME49_chrXI:5,853,605..5,858,696(+)	forward	protein coding gene
TGME49_216850	TGME49_chrXI	TGME49_chrXI:5,849,598..5,853,483(-)	reverse	protein coding gene
TGME49_216860	TGME49_chrXI	TGME49_chrXI:5,844,514..5,849,376(+)	forward	protein coding gene
TGME49_216870	TGME49_chrXI	TGME49_chrXI:5,825,564..5,841,443(-)	reverse	protein coding gene
TGME49_216875	TGME49_chrXI	TGME49_chrXI:5,820,778..5,824,605(-)	reverse	protein coding gene
TGME49_216880	TGME49_chrXI	TGME49_chrXI:5,815,677..5,820,009(-)	reverse	protein coding gene
TGME49_216890	TGME49_chrXI	TGME49_chrXI:5,801,704..5,813,581(+)	forward	protein coding gene
TGME49_216900	TGME49_chrXI	TGME49_chrXI:5,796,924..5,801,539(-)	reverse	protein coding gene
TGME49_216910	TGME49_chrXI	TGME49_chrXI:5,793,622..5,797,093(+)	forward	protein coding gene
TGME49_216920	TGME49_chrXI	TGME49_chrXI:5,788,142..5,792,501(+)	forward	protein coding gene
TGME49_216930	TGME49_chrXI	TGME49_chrXI:5,784,108..5,787,957(-)	reverse	protein coding gene
TGME49_216940	TGME49_chrXI	TGME49_chrXI:5,782,331..5,784,368(+)	forward	protein coding gene
TGME49_216950	TGME49_chrXI	TGME49_chrXI:5,775,761..5,781,691(+)	forward	protein coding gene
TGME49_216960	TGME49_chrXI	TGME49_chrXI:5,767,228..5,775,609(-)	reverse	protein coding gene
TGME49_216965	TGME49_chrXI	TGME49_chrXI:5,765,176..5,767,160(+)	forward	protein coding gene
TGME49_216970	TGME49_chrXI	TGME49_chrXI:5,750,359..5,762,606(-)	reverse	protein coding gene
TGME49_216980	TGME49_chrXI	TGME49_chrXI:5,740,659..5,750,461(+)	forward	protein coding gene
TGME49_216990	TGME49_chrXI	TGME49_chrXI:5,735,807..5,740,456(-)	reverse	protein coding gene
TGME49_217000	TGME49_chrXI	TGME49_chrXI:5,730,143..5,734,822(+)	forward	protein coding gene
TGME49_217010	TGME49_chrXI	TGME49_chrXI:5,724,225..5,730,093(-)	reverse	protein coding gene
TGME49_217020	TGME49_chrXI	TGME49_chrXI:5,714,087..5,724,067(+)	forward	protein coding gene
TGME49_217030	TGME49_chrXI	TGME49_chrXI:5,712,377..5,713,946(-)	reverse	protein coding gene
TGME49_217040	TGME49_chrXI	TGME49_chrXI:5,711,258..5,713,139(+)	forward	protein coding gene
TGME49_217050	TGME49_chrXI	TGME49_chrXI:5,700,719..5,710,206(+)	forward	protein coding gene
TGME49_217160	TGME49_chrXI	TGME49_chrXI:5,696,207..5,700,564(-)	reverse	protein coding gene
TGME49_217220	TGME49_chrXI	TGME49_chrXI:5,643,223..5,659,485(-)	reverse	protein coding gene
TGME49_217340	TGME49_chrXII	TGME49_chrXII:1,758,660..1,763,378(+)	forward	protein coding gene
TGME49_217350	TGME49_chrXII	TGME49_chrXII:1,764,476..1,771,780(-)	reverse	protein coding gene
TGME49_217360	TGME49_chrXII	TGME49_chrXII:1,774,783..1,785,937(+)	forward	protein coding gene
TGME49_217370	TGME49_chrXII	TGME49_chrXII:1,786,328..1,787,496(-)	reverse	protein coding gene
TGME49_217380	TGME49_chrXII	TGME49_chrXII:1,790,047..1,794,263(-)	reverse	protein coding gene
TGME49_217390	TGME49_chrXII	TGME49_chrXII:1,795,483..1,808,225(-)	reverse	protein coding gene
TGME49_217400	TGME49_chrXII	TGME49_chrXII:1,811,632..1,818,014(+)	forward	protein coding gene
TGME49_217410	TGME49_chrXII	TGME49_chrXII:1,818,241..1,824,433(-)	reverse	protein coding gene
TGME49_217420	TGME49_chrXII	TGME49_chrXII:1,825,878..1,830,962(-)	reverse	protein coding gene
TGME49_217430	TGME49_chrXII	TGME49_chrXII:1,831,652..1,835,325(-)	reverse	protein coding gene
TGME49_217440	TGME49_chrXII	TGME49_chrXII:1,836,814..1,843,344(-)	reverse	protein coding gene
TGME49_217450	TGME49_chrXII	TGME49_chrXII:1,844,540..1,846,691(-)	reverse	protein coding gene
TGME49_217460	TGME49_chrXII	TGME49_chrXII:1,848,236..1,856,270(-)	reverse	protein coding gene
TGME49_217470	TGME49_chrXII	TGME49_chrXII:1,858,662..1,864,487(+)	forward	protein coding gene
TGME49_217480	TGME49_chrXII	TGME49_chrXII:1,865,036..1,875,216(+)	forward	protein coding gene
TGME49_217490	TGME49_chrXII	TGME49_chrXII:1,876,612..1,878,110(+)	forward	protein coding gene
TGME49_217500	TGME49_chrXII	TGME49_chrXII:1,878,136..1,884,178(-)	reverse	protein coding gene
TGME49_217510	TGME49_chrXII	TGME49_chrXII:1,884,821..1,888,010(+)	forward	protein coding gene
TGME49_217520	TGME49_chrXII	TGME49_chrXII:1,887,673..1,891,263(-)	reverse	protein coding gene
TGME49_217530	TGME49_chrXII	TGME49_chrXII:1,891,636..1,895,197(+)	forward	protein coding gene
TGME49_217540	TGME49_chrXII	TGME49_chrXII:1,895,748..1,899,352(-)	reverse	protein coding gene
TGME49_217550	TGME49_chrXII	TGME49_chrXII:1,899,499..1,903,315(+)	forward	protein coding gene
TGME49_217555	TGME49_chrXII	TGME49_chrXII:1,907,274..1,910,026(+)	forward	protein coding gene
TGME49_217560	TGME49_chrXII	TGME49_chrXII:1,910,247..1,912,586(-)	reverse	protein coding gene
TGME49_217570	TGME49_chrXII	TGME49_chrXII:1,912,874..1,915,237(+)	forward	protein coding gene
TGME49_217580	TGME49_chrXII	TGME49_chrXII:1,915,962..1,927,907(-)	reverse	protein coding gene
TGME49_217590	TGME49_chrXII	TGME49_chrXII:1,928,076..1,933,700(+)	forward	protein coding gene
TGME49_217600	TGME49_chrXII	TGME49_chrXII:1,935,874..1,953,549(+)	forward	protein coding gene
TGME49_217610	TGME49_chrXII	TGME49_chrXII:1,953,375..1,958,738(-)	reverse	protein coding gene
TGME49_217620	TGME49_chrXII	TGME49_chrXII:1,959,390..1,961,647(-)	reverse	protein coding gene
TGME49_217630	TGME49_chrXII	TGME49_chrXII:1,961,767..1,967,289(+)	forward	protein coding gene
TGME49_217640	TGME49_chrXII	TGME49_chrXII:1,967,653..1,969,712(-)	reverse	protein coding gene
TGME49_217650	TGME49_chrXII	TGME49_chrXII:1,970,387..1,976,065(-)	reverse	protein coding gene
TGME49_217660	TGME49_chrXII	TGME49_chrXII:1,976,213..1,980,101(+)	forward	protein coding gene
TGME49_217665	TGME49_chrXII	TGME49_chrXII:1,980,212..1,983,273(-)	reverse	protein coding gene
TGME49_217670	TGME49_chrXII	TGME49_chrXII:1,983,445..1,990,017(+)	forward	protein coding gene
TGME49_217680	TGME49_chrXII	TGME49_chrXII:1,990,590..2,004,540(-)	reverse	protein coding gene
TGME49_217688	TGME49_chrXII	TGME49_chrXII:2,016,846..2,021,477(-)	reverse	protein coding gene
TGME49_217692	TGME49_chrXII	TGME49_chrXII:2,008,112..2,015,455(-)	reverse	protein coding gene
TGME49_217700	TGME49_chrXII	TGME49_chrXII:2,025,270..2,032,216(+)	forward	protein coding gene
TGME49_217710	TGME49_chrXII	TGME49_chrXII:2,032,234..2,037,113(-)	reverse	protein coding gene
TGME49_217720	TGME49_chrXII	TGME49_chrXII:2,039,622..2,045,619(+)	forward	protein coding gene
TGME49_217722	TGME49_chrXII	TGME49_chrXII:2,053,565..2,054,481(+)	forward	protein coding gene
TGME49_217724	TGME49_chrXII	TGME49_chrXII:2,064,687..2,065,500(+)	forward	protein coding gene
TGME49_217726	TGME49_chrXII	TGME49_chrXII:2,069,303..2,070,181(+)	forward	protein coding gene
TGME49_217728	TGME49_chrXII	TGME49_chrXII:2,072,221..2,072,911(+)	forward	protein coding gene
TGME49_217730	TGME49_chrXII	TGME49_chrXII:2,076,673..2,085,306(-)	reverse	protein coding gene
TGME49_217740	TGME49_chrXII	TGME49_chrXII:2,085,766..2,090,478(+)	forward	protein coding gene
TGME49_217760	TGME49_chrXII	TGME49_chrXII:2,091,212..2,098,540(-)	reverse	protein coding gene
TGME49_217770	TGME49_chrXII	TGME49_chrXII:2,098,731..2,105,777(+)	forward	protein coding gene
TGME49_217780	TGME49_chrXII	TGME49_chrXII:2,106,372..2,118,462(-)	reverse	protein coding gene
TGME49_217790	TGME49_chrXII	TGME49_chrXII:2,120,002..2,134,011(-)	reverse	protein coding gene
TGME49_217800	TGME49_chrXII	TGME49_chrXII:2,136,343..2,147,647(-)	reverse	protein coding gene
TGME49_217810	TGME49_chrXII	TGME49_chrXII:2,149,203..2,149,927(-)	reverse	protein coding gene
TGME49_217820	TGME49_chrXII	TGME49_chrXII:2,149,417..2,155,947(+)	forward	protein coding gene
TGME49_217830	TGME49_chrXII	TGME49_chrXII:2,156,556..2,166,228(-)	reverse	protein coding gene
TGME49_217850	TGME49_chrXII	TGME49_chrXII:2,166,464..2,174,985(-)	reverse	protein coding gene
TGME49_217855	TGME49_chrXII	TGME49_chrXII:2,178,616..2,179,725(-)	reverse	protein coding gene
TGME49_217860	TGME49_chrXII	TGME49_chrXII:2,179,608..2,191,301(+)	forward	protein coding gene
TGME49_217870	TGME49_chrXII	TGME49_chrXII:2,191,658..2,198,475(-)	reverse	protein coding gene
TGME49_217875	TGME49_chrXII	TGME49_chrXII:2,199,723..2,200,461(+)	forward	protein coding gene
TGME49_217880	TGME49_chrXII	TGME49_chrXII:2,200,494..2,201,732(+)	forward	protein coding gene
TGME49_217890	TGME49_chrXII	TGME49_chrXII:2,203,786..2,205,260(-)	reverse	protein coding gene
TGME49_217900	TGME49_chrXII	TGME49_chrXII:2,206,352..2,209,714(-)	reverse	protein coding gene
TGME49_217910	TGME49_chrXII	TGME49_chrXII:2,211,353..2,222,168(-)	reverse	protein coding gene
TGME49_217940	TGME49_chrXII	TGME49_chrXII:2,238,141..2,242,336(+)	forward	protein coding gene
TGME49_217951	KE138862	KE138862:3,518..3,937(-)	reverse	protein coding gene
TGME49_217961	KE138862	KE138862:6,047..8,598(+)	forward	protein coding gene
TGME49_218000	TGME49_chrXII	TGME49_chrXII:1,738,787..1,755,738(-)	reverse	protein coding gene
TGME49_218070	TGME49_chrXII	TGME49_chrXII:1,727,838..1,738,121(-)	reverse	protein coding gene
TGME49_218130	TGME49_chrXII	TGME49_chrXII:1,724,768..1,727,576(-)	reverse	protein coding gene
TGME49_218200	TGME49_chrXII	TGME49_chrXII:1,698,901..1,706,994(-)	reverse	protein coding gene
TGME49_218210	TGME49_chrXII	TGME49_chrXII:1,689,885..1,698,170(+)	forward	protein coding gene
TGME49_218215	TGME49_chrXII	TGME49_chrXII:1,680,896..1,688,382(-)	reverse	protein coding gene
TGME49_218220	TGME49_chrXII	TGME49_chrXII:1,665,661..1,672,649(+)	forward	protein coding gene
TGME49_218230	TGME49_chrXII	TGME49_chrXII:1,658,569..1,662,050(-)	reverse	protein coding gene
TGME49_218240	TGME49_chrXII	TGME49_chrXII:1,651,080..1,657,929(-)	reverse	protein coding gene
TGME49_218250	TGME49_chrXII	TGME49_chrXII:1,639,552..1,649,818(-)	reverse	protein coding gene
TGME49_218260	TGME49_chrXII	TGME49_chrXII:1,637,550..1,639,583(+)	forward	protein coding gene
TGME49_218270	TGME49_chrXII	TGME49_chrXII:1,634,624..1,636,509(-)	reverse	protein coding gene
TGME49_218280	TGME49_chrXII	TGME49_chrXII:1,627,626..1,634,538(+)	forward	protein coding gene
TGME49_218290	TGME49_chrXII	TGME49_chrXII:1,616,510..1,624,763(-)	reverse	protein coding gene
TGME49_218300	TGME49_chrXII	TGME49_chrXII:1,606,384..1,614,978(-)	reverse	protein coding gene
TGME49_218350	TGME49_chrXII	TGME49_chrXII:1,576,628..1,578,216(-)	reverse	protein coding gene
TGME49_218358	TGME49_chrXII	TGME49_chrXII:1,571,524..1,574,877(-)	reverse	protein coding gene
TGME49_218362	TGME49_chrXII	TGME49_chrXII:1,562,236..1,569,107(-)	reverse	protein coding gene
TGME49_218380	TGME49_chrXII	TGME49_chrXII:1,554,937..1,555,009(-)	reverse	ncRNA gene
TGME49_218400	TGME49_chrXII	TGME49_chrXII:1,533,699..1,553,609(-)	reverse	protein coding gene
TGME49_218410	TGME49_chrXII	TGME49_chrXII:1,530,230..1,533,821(+)	forward	protein coding gene
TGME49_218420	TGME49_chrXII	TGME49_chrXII:1,523,777..1,530,046(-)	reverse	protein coding gene
TGME49_218430	TGME49_chrXII	TGME49_chrXII:1,523,456..1,523,527(+)	forward	ncRNA gene
TGME49_218440	TGME49_chrXII	TGME49_chrXII:1,523,202..1,523,273(+)	forward	ncRNA gene
TGME49_218450	TGME49_chrXII	TGME49_chrXII:1,520,631..1,522,663(+)	forward	protein coding gene
TGME49_218460	TGME49_chrXII	TGME49_chrXII:1,519,909..1,520,430(+)	forward	protein coding gene
TGME49_218470	TGME49_chrXII	TGME49_chrXII:1,513,098..1,518,546(+)	forward	protein coding gene
TGME49_218480	TGME49_chrXII	TGME49_chrXII:1,511,813..1,511,885(-)	reverse	ncRNA gene
TGME49_218490	TGME49_chrXII	TGME49_chrXII:1,496,586..1,511,402(-)	reverse	protein coding gene
TGME49_218500	TGME49_chrXII	TGME49_chrXII:1,482,782..1,494,897(-)	reverse	protein coding gene
TGME49_218510	TGME49_chrXII	TGME49_chrXII:1,480,771..1,482,891(+)	forward	protein coding gene
TGME49_218520	TGME49_chrXII	TGME49_chrXII:1,477,888..1,479,829(-)	reverse	protein coding gene
TGME49_218530	TGME49_chrXII	TGME49_chrXII:1,474,627..1,477,697(+)	forward	protein coding gene
TGME49_218540	TGME49_chrXII	TGME49_chrXII:1,469,873..1,474,479(-)	reverse	protein coding gene
TGME49_218550	TGME49_chrXII	TGME49_chrXII:1,461,573..1,469,837(+)	forward	protein coding gene
TGME49_218560	TGME49_chrXII	TGME49_chrXII:1,425,733..1,457,806(-)	reverse	protein coding gene
TGME49_218570	TGME49_chrXII	TGME49_chrXII:1,419,868..1,424,444(-)	reverse	protein coding gene
TGME49_218580	TGME49_chrXII	TGME49_chrXII:1,402,992..1,418,196(+)	forward	protein coding gene
TGME49_218590	TGME49_chrXII	TGME49_chrXII:1,392,220..1,398,956(-)	reverse	protein coding gene
TGME49_218600	TGME49_chrXII	TGME49_chrXII:1,375,837..1,383,663(+)	forward	protein coding gene
TGME49_218610	TGME49_chrXII	TGME49_chrXII:1,364,594..1,375,782(-)	reverse	protein coding gene
TGME49_218720	TGME49_chrXII	TGME49_chrXII:1,348,710..1,364,172(+)	forward	protein coding gene
TGME49_218730	TGME49_chrXII	TGME49_chrXII:1,343,867..1,347,619(+)	forward	protein coding gene
TGME49_218740	TGME49_chrXII	TGME49_chrXII:1,339,655..1,341,414(-)	reverse	protein coding gene
TGME49_218750	TGME49_chrXII	TGME49_chrXII:1,329,579..1,339,062(-)	reverse	protein coding gene
TGME49_218760	TGME49_chrXII	TGME49_chrXII:1,323,558..1,329,672(+)	forward	protein coding gene
TGME49_218770	TGME49_chrXII	TGME49_chrXII:1,316,787..1,323,421(-)	reverse	protein coding gene
TGME49_218780	TGME49_chrXII	TGME49_chrXII:1,307,761..1,314,713(-)	reverse	protein coding gene
TGME49_218790	TGME49_chrXII	TGME49_chrXII:1,298,224..1,308,117(+)	forward	protein coding gene
TGME49_218800	TGME49_chrXII	TGME49_chrXII:1,289,544..1,297,439(-)	reverse	protein coding gene
TGME49_218810	TGME49_chrXII	TGME49_chrXII:1,283,107..1,288,584(+)	forward	protein coding gene
TGME49_218820	TGME49_chrXII	TGME49_chrXII:1,278,740..1,281,530(+)	forward	protein coding gene
TGME49_218830	TGME49_chrXII	TGME49_chrXII:1,266,835..1,277,224(-)	reverse	protein coding gene
TGME49_218840	TGME49_chrXII	TGME49_chrXII:1,252,811..1,267,172(+)	forward	protein coding gene
TGME49_218850	TGME49_chrXII	TGME49_chrXII:1,250,816..1,252,599(-)	reverse	protein coding gene
TGME49_218860	TGME49_chrXII	TGME49_chrXII:1,249,241..1,251,329(+)	forward	protein coding gene
TGME49_218870	TGME49_chrXII	TGME49_chrXII:1,244,027..1,249,010(+)	forward	protein coding gene
TGME49_218880	TGME49_chrXII	TGME49_chrXII:1,238,250..1,243,755(-)	reverse	protein coding gene
TGME49_218890	TGME49_chrXII	TGME49_chrXII:1,232,401..1,238,410(+)	forward	protein coding gene
TGME49_218900	TGME49_chrXII	TGME49_chrXII:1,226,451..1,230,256(+)	forward	protein coding gene
TGME49_218910	TGME49_chrXII	TGME49_chrXII:1,217,273..1,226,234(-)	reverse	protein coding gene
TGME49_218920	TGME49_chrXII	TGME49_chrXII:1,211,403..1,217,325(+)	forward	protein coding gene
TGME49_218930	TGME49_chrXII	TGME49_chrXII:1,202,564..1,209,076(-)	reverse	protein coding gene
TGME49_218940	TGME49_chrXII	TGME49_chrXII:1,199,240..1,201,745(+)	forward	protein coding gene
TGME49_218950	TGME49_chrXII	TGME49_chrXII:1,191,340..1,199,124(-)	reverse	protein coding gene
TGME49_218955	TGME49_chrXII	TGME49_chrXII:1,189,282..1,189,976(-)	reverse	protein coding gene
TGME49_218960	TGME49_chrXII	TGME49_chrXII:1,175,181..1,189,059(-)	reverse	protein coding gene
TGME49_219070	TGME49_chrXII	TGME49_chrXII:1,143,005..1,172,636(-)	reverse	protein coding gene
TGME49_219080	TGME49_chrXII	TGME49_chrXII:1,135,686..1,143,132(+)	forward	protein coding gene
TGME49_219090	TGME49_chrXII	TGME49_chrXII:1,135,341..1,135,980(-)	reverse	protein coding gene
TGME49_219100	TGME49_chrXII	TGME49_chrXII:1,131,918..1,134,982(-)	reverse	protein coding gene
TGME49_219110	TGME49_chrXII	TGME49_chrXII:1,129,439..1,131,310(-)	reverse	protein coding gene
TGME49_219120	TGME49_chrXII	TGME49_chrXII:1,121,321..1,129,084(+)	forward	protein coding gene
TGME49_219130	TGME49_chrXII	TGME49_chrXII:1,112,434..1,118,831(-)	reverse	protein coding gene
TGME49_219140	TGME49_chrXII	TGME49_chrXII:1,109,566..1,111,751(+)	forward	protein coding gene
TGME49_219150	TGME49_chrXII	TGME49_chrXII:1,103,329..1,109,384(-)	reverse	protein coding gene
TGME49_219160	TGME49_chrXII	TGME49_chrXII:1,101,597..1,103,938(+)	forward	protein coding gene
TGME49_219170	TGME49_chrXII	TGME49_chrXII:1,094,278..1,097,086(+)	forward	protein coding gene
TGME49_219180	TGME49_chrXII	TGME49_chrXII:1,089,397..1,094,017(-)	reverse	protein coding gene
TGME49_219190	TGME49_chrXII	TGME49_chrXII:1,085,144..1,089,283(-)	reverse	protein coding gene
TGME49_219200	TGME49_chrXII	TGME49_chrXII:1,075,499..1,085,017(+)	forward	protein coding gene
TGME49_219210	TGME49_chrXII	TGME49_chrXII:1,068,904..1,075,313(-)	reverse	protein coding gene
TGME49_219230	TGME49_chrXII	TGME49_chrXII:1,047,077..1,056,162(-)	reverse	protein coding gene
TGME49_219240	TGME49_chrXII	TGME49_chrXII:1,043,637..1,046,101(-)	reverse	protein coding gene
TGME49_219250	TGME49_chrXII	TGME49_chrXII:1,034,868..1,042,270(-)	reverse	protein coding gene
TGME49_219260	TGME49_chrXII	TGME49_chrXII:1,014,844..1,034,806(+)	forward	protein coding gene
TGME49_219270	TGME49_chrXII	TGME49_chrXII:1,009,609..1,012,351(+)	forward	protein coding gene
TGME49_219280	TGME49_chrXII	TGME49_chrXII:997,825..1,005,806(-)	reverse	protein coding gene
TGME49_219290	TGME49_chrXII	TGME49_chrXII:989,715..996,651(-)	reverse	protein coding gene
TGME49_219300	TGME49_chrXII	TGME49_chrXII:986,719..989,187(+)	forward	protein coding gene
TGME49_219310	TGME49_chrXII	TGME49_chrXII:976,865..984,910(+)	forward	protein coding gene
TGME49_219320	TGME49_chrXII	TGME49_chrXII:968,519..973,195(-)	reverse	protein coding gene
TGME49_219348	TGME49_chrXI	TGME49_chrXI:630,489..632,258(+)	forward	protein coding gene
TGME49_219370	TGME49_chrXII	TGME49_chrXII:962,834..967,743(-)	reverse	protein coding gene
TGME49_219430	TGME49_chrXII	TGME49_chrXII:952,240..962,842(+)	forward	protein coding gene
TGME49_219440	TGME49_chrXII	TGME49_chrXII:941,263..951,995(-)	reverse	protein coding gene
TGME49_219450	TGME49_chrXII	TGME49_chrXII:930,952..941,346(+)	forward	protein coding gene
TGME49_219460	TGME49_chrXII	TGME49_chrXII:922,282..929,344(+)	forward	protein coding gene
